name,runtime(ms),ave_time_on_com_min_keys_for_a_given_schema(ms),total_time_on_com_all_min_keys(ms),time_3_to_4,time_6_to_10,time_11,time_12_to_14,max_key_num_on_all_schema,num_of_all_schema,ave_key_num_on_all_schema,num_of_BCNF_schema,ave_key_num_on_BCNF_schema,distribution_key_num_BCNF <key num : num>,num_of_3NF_schema,ave_key_num_on_3NF_schema,distribution_key_num_3NF <key num : num>
abalone,105,0.29,40,48,11,1,0,5,23,2.04,17,1.76,[{ 3 : 2 } { 2 : 9 } { 1 : 6 }],6,2.83,[{ 5 : 1 } { 3 : 2 } { 2 : 3 }]
adult,11,0.05,4,4,4,0,2,2,46,1.02,46,1.02,[{ 2 : 1 } { 1 : 45 }],0,0,[]
balance-scale,1,0,0,0,0,0,0,1,1,1,1,1,[{ 1 : 1 }],0,0,[]
chess,1,1,1,1,0,0,0,1,1,1,1,1,[{ 1 : 1 }],0,0,[]
fd_reduced,2114814,10.88,974232,974342,1009432,290,6,4,1562,3.54,1245,3.93,[{ 4 : 1164 } { 3 : 73 } { 2 : 6 } { 1 : 2 }],317,2,[{ 2 : 317 }]
iris,1,0,0,0,0,0,0,1,5,1,5,1,[{ 1 : 5 }],0,0,[]
letter,10,0.07,4,4,4,0,2,1,62,1,62,1,[{ 1 : 62 }],0,0,[]
lineitem,8818,1.05,4168,4170,3915,54,1,5,578,1.42,510,1.28,[{ 5 : 1 } { 4 : 3 } { 3 : 17 } { 2 : 98 } { 1 : 391 }],68,2.4,[{ 5 : 2 } { 4 : 3 } { 3 : 15 } { 2 : 48 }]
nursery,1,0,0,0,0,0,0,1,1,1,1,1,[{ 1 : 1 }],0,0,[]
breast,2,0.02,1,1,1,0,0,2,38,1.08,36,1.03,[{ 2 : 1 } { 1 : 35 }],2,2,[{ 2 : 2 }]
bridges,12,0.03,4,4,6,0,1,2,56,1.32,40,1.05,[{ 2 : 2 } { 1 : 38 }],16,2,[{ 2 : 16 }]
china_weather,877,0.33,305,308,466,26,22,3,406,1.37,289,1.08,[{ 3 : 1 } { 2 : 21 } { 1 : 267 }],117,2.09,[{ 3 : 10 } { 2 : 107 }]
diabetic,2802940,21.2,852245,852347,1627800,211019,10084,17,26642,1.1,24120,1,[{ 2 : 89 } { 1 : 24031 }],2522,2.05,[{ 17 : 1 } { 7 : 1 } { 5 : 3 } { 4 : 7 } { 3 : 93 } { 2 : 2417 }]
echo,148,0.1,51,51,83,0,7,3,75,1.51,58,1.31,[{ 3 : 1 } { 2 : 16 } { 1 : 41 }],17,2.18,[{ 3 : 3 } { 2 : 14 }]
hepatitis,37290,1.82,15035,15037,19210,371,307,5,1640,1.46,1050,1.08,[{ 3 : 6 } { 2 : 71 } { 1 : 973 }],590,2.14,[{ 5 : 3 } { 4 : 1 } { 3 : 72 } { 2 : 514 }]
ncvoter,374,0.16,124,124,212,3,19,3,170,1.29,141,1.12,[{ 2 : 17 } { 1 : 124 }],29,2.1,[{ 3 : 3 } { 2 : 26 }]
ncvoter1024000,266,0.19,106,106,140,7,1,2,234,1.15,208,1.04,[{ 2 : 8 } { 1 : 200 }],26,2,[{ 2 : 26 }]
ncvoter128000,336,0.2,124,124,169,6,22,3,210,1.25,170,1.06,[{ 2 : 10 } { 1 : 160 }],40,2.05,[{ 3 : 2 } { 2 : 38 }]
ncvoter16000,323,0.17,106,106,173,7,22,3,223,1.13,201,1.02,[{ 2 : 4 } { 1 : 197 }],22,2.14,[{ 3 : 3 } { 2 : 19 }]
ncvoter2000,548,0.2,190,190,300,5,27,3,222,1.31,181,1.13,[{ 2 : 24 } { 1 : 157 }],41,2.07,[{ 3 : 3 } { 2 : 38 }]
ncvoter256000,281,0.21,123,124,137,7,0,3,231,1.19,198,1.05,[{ 2 : 9 } { 1 : 189 }],33,2.03,[{ 3 : 1 } { 2 : 32 }]
ncvoter32000,322,0.19,116,116,164,6,22,2,229,1.17,200,1.05,[{ 2 : 10 } { 1 : 190 }],29,2,[{ 2 : 29 }]
ncvoter4000,680,0.24,224,225,373,8,42,3,243,1.27,202,1.11,[{ 2 : 23 } { 1 : 179 }],41,2.02,[{ 3 : 1 } { 2 : 40 }]
ncvoter512000,333,0.22,139,139,168,10,1,2,242,1.14,215,1.04,[{ 2 : 8 } { 1 : 207 }],27,2,[{ 2 : 27 }]
ncvoter64000,405,0.24,156,157,194,8,26,3,224,1.21,189,1.05,[{ 2 : 10 } { 1 : 179 }],35,2.06,[{ 3 : 2 } { 2 : 33 }]
ncvoter8000,549,0.23,187,187,291,9,35,3,250,1.2,213,1.06,[{ 2 : 13 } { 1 : 200 }],37,2.03,[{ 3 : 1 } { 2 : 36 }]
ncvoter8060060,620,0.28,234,235,316,17,18,3,317,1.13,289,1.03,[{ 2 : 10 } { 1 : 279 }],28,2.07,[{ 3 : 2 } { 2 : 26 }]
pdbx,2,0.01,1,1,1,0,0,2,14,1.29,14,1.29,[{ 2 : 4 } { 1 : 10 }],0,0,[]
uniprot_512001r_30c,9331,0.86,3195,3196,4560,260,729,2,1676,1.14,1461,1.01,[{ 2 : 21 } { 1 : 1440 }],215,2,[{ 2 : 215 }]
breast,2,0.02,1,1,1,0,0,2,39,1.08,37,1.03,[{ 2 : 1 } { 1 : 36 }],2,2,[{ 2 : 2 }]
bridges,8,0.02,3,3,4,0,0,3,45,1.29,37,1.11,[{ 2 : 4 } { 1 : 33 }],8,2.13,[{ 3 : 1 } { 2 : 7 }]
china_weather,29039,1.93,12702,12706,13554,221,5,7,1162,1.51,741,1.16,[{ 3 : 6 } { 2 : 106 } { 1 : 629 }],421,2.14,[{ 7 : 1 } { 5 : 3 } { 4 : 2 } { 3 : 41 } { 2 : 374 }]
echo,60,0.05,18,18,35,1,4,3,73,1.53,64,1.45,[{ 3 : 6 } { 2 : 17 } { 1 : 41 }],9,2.11,[{ 3 : 1 } { 2 : 8 }]
hepatitis,11814,0.95,4295,4297,5967,194,91,5,1119,1.41,794,1.1,[{ 3 : 5 } { 2 : 70 } { 1 : 719 }],325,2.15,[{ 5 : 3 } { 4 : 1 } { 3 : 38 } { 2 : 283 }]
horse,3037914,16.77,1161933,1162009,1679072,15703,37813,9,8095,1.5,5143,1.11,[{ 4 : 7 } { 3 : 42 } { 2 : 469 } { 1 : 4625 }],2952,2.17,[{ 9 : 1 } { 7 : 2 } { 6 : 3 } { 5 : 15 } { 4 : 64 } { 3 : 301 } { 2 : 2566 }]
ncvoter,887,0.23,286,287,518,2,38,3,160,1.34,130,1.18,[{ 2 : 24 } { 1 : 106 }],30,2.03,[{ 3 : 1 } { 2 : 29 }]
pdbx,7,0.03,3,3,3,0,0,2,19,1.42,14,1.21,[{ 2 : 3 } { 1 : 11 }],5,2,[{ 2 : 5 }]
plista,16201650,35.1,4652141,4652375,10189568,41968,466192,12,14069,1.41,8980,1.05,[{ 4 : 1 } { 3 : 16 } { 2 : 384 } { 1 : 8579 }],5089,2.06,[{ 12 : 1 } { 5 : 10 } { 4 : 32 } { 3 : 183 } { 2 : 4863 }]
uniprot_512001r_30c,184067,3.5,74072,74083,99343,452,316,4,1957,1.32,1502,1.11,[{ 3 : 4 } { 2 : 150 } { 1 : 1348 }],455,2.04,[{ 4 : 1 } { 3 : 16 } { 2 : 438 }]
