name,runtime(ms),ave_time_on_com_min_keys_for_a_given_schema(ms),total_time_on_com_all_min_keys(ms),time_3_to_8,time_9_to_14,time_15,time_16_to_18,max_key_num_on_all_schema,num_of_all_schema,ave_key_num_on_all_schema,num_of_BCNF_schema,ave_key_num_on_BCNF_schema,distribution_key_num_BCNF <key num : num>,num_of_3NF_schema,ave_key_num_on_3NF_schema,distribution_key_num_3NF <key num : num>
abalone,122,0.18,20,78,8,0,0,6,21,2.19,16,1.81,[{ 3 : 2 } { 2 : 9 } { 1 : 5 }],5,3.40,[{ 6 : 1 } { 3 : 3 } { 2 : 1 }]
adult,19,0.04,3,11,4,0,2,2,46,1.02,46,1.02,[{ 2 : 1 } { 1 : 45 }],0,0.00,[]
balance-scale,0,0.00,0,0,0,0,0,1,1,1.00,1,1.00,[{ 1 : 1 }],0,0.00,[]
chess,0,0.00,0,0,0,0,0,1,1,1.00,1,1.00,[{ 1 : 1 }],0,0.00,[]
fd_reduced,3873345,10.48,895005,2994976,779532,170,5,4,1269,3.91,1269,3.91,[{ 4 : 1169 } { 3 : 90 } { 2 : 6 } { 1 : 4 }],0,0.00,[]
iris,0,0.00,0,0,0,0,0,1,5,1.00,5,1.00,[{ 1 : 5 }],0,0.00,[]
letter,13,0.07,4,6,3,0,2,1,62,1.00,62,1.00,[{ 1 : 62 }],0,0.00,[]
lineitem,17116,0.94,2972,13890,2501,41,0,19,587,1.59,558,1.38,[{ 15 : 1 } { 10 : 1 } { 6 : 3 } { 5 : 3 } { 4 : 5 } { 3 : 22 } { 2 : 104 } { 1 : 419 }],29,5.62,[{ 19 : 1 } { 14 : 1 } { 13 : 1 } { 12 : 1 } { 11 : 1 } { 8 : 3 } { 7 : 4 } { 6 : 1 } { 4 : 1 } { 3 : 2 } { 2 : 13 }]
nursery,0,0.00,0,0,0,0,0,1,1,1.00,1,1.00,[{ 1 : 1 }],0,0.00,[]
breast,3,0.02,1,1,1,0,0,2,38,1.08,36,1.03,[{ 2 : 1 } { 1 : 35 }],2,2.00,[{ 2 : 2 }]
bridges,19,0.03,4,12,5,0,1,2,56,1.32,40,1.05,[{ 2 : 2 } { 1 : 38 }],16,2.00,[{ 2 : 16 }]
china_weather,1732,0.29,231,1185,419,41,31,3,406,1.37,289,1.08,[{ 3 : 1 } { 2 : 21 } { 1 : 267 }],117,2.09,[{ 3 : 10 } { 2 : 107 }]
diabetic,4579769,17.91,663664,3218328,1130042,152440,6862,17,26703,1.10,24202,1.00,[{ 3 : 3 } { 2 : 102 } { 1 : 24097 }],2501,2.06,[{ 17 : 1 } { 7 : 1 } { 6 : 1 } { 5 : 3 } { 4 : 13 } { 3 : 91 } { 2 : 2391 }]
echo,381,0.11,43,319,49,1,6,4,81,1.52,69,1.42,[{ 4 : 1 } { 3 : 4 } { 2 : 18 } { 1 : 46 }],12,2.08,[{ 3 : 1 } { 2 : 11 }]
hepatitis,116302,2.07,9832,99797,12578,569,89,9,1658,1.47,1095,1.10,[{ 4 : 1 } { 3 : 11 } { 2 : 88 } { 1 : 995 }],563,2.18,[{ 9 : 1 } { 5 : 4 } { 4 : 2 } { 3 : 81 } { 2 : 475 }]
ncvoter,1371,0.21,102,1160,137,4,26,3,172,1.30,144,1.13,[{ 3 : 1 } { 2 : 17 } { 1 : 126 }],28,2.18,[{ 3 : 5 } { 2 : 23 }]
ncvoter1024000,702,0.22,106,550,125,12,1,2,234,1.15,208,1.04,[{ 2 : 8 } { 1 : 200 }],26,2.00,[{ 2 : 26 }]
ncvoter128000,1095,0.21,97,894,142,17,29,3,210,1.25,171,1.06,[{ 2 : 10 } { 1 : 161 }],39,2.08,[{ 3 : 3 } { 2 : 36 }]
ncvoter16000,1137,0.25,119,918,161,10,34,3,224,1.13,204,1.03,[{ 3 : 1 } { 2 : 4 } { 1 : 199 }],20,2.10,[{ 3 : 2 } { 2 : 18 }]
