schemaSize:3,keyNum:3,copyNum:100000,aveKeySize:1.50,aveTupleNumOfArmRel:3.00,,,,,
,,,,,,,,,
365,109,810,941,242,361,472,732,777,1099
745.27,200.33,1179.53,1809.67,369.07,565,723,1148.73,1085,1722.43
,,,,,,,,,
,,,,,,,,,
schemaSize:3,keyNum:3,copyNum:150000,aveKeySize:1.50,aveTupleNumOfArmRel:3.00,,,,,
,,,,,,,,,
644,160,1056,1888,441,602,715,1105,1082,1652
1266.47,294.83,1676.03,3184.37,553.63,852.74,1096.87,1687.73,1621.8,2561
,,,,,,,,,
,,,,,,,,,
schemaSize:3,keyNum:3,copyNum:200000,aveKeySize:1.50,aveTupleNumOfArmRel:3.00,,,,,
,,,,,,,,,
786,221,1391,2811,479,739,967,1456,1652,2230
1647.5,373.5,2217.27,4478.03,725.4,1141.56,1447.5,2259.87,2207.47,3437.17
,,,,,,,,,
,,,,,,,,,
schemaSize:4,keyNum:6,copyNum:100000,aveKeySize:2.00,aveTupleNumOfArmRel:5.00,,,,,
,,,,,,,,,
1409,331,1961,3677,647,1001,1308,2023,1952,3048
1492.33,333.77,1986.42,3673.82,655.58,1022.75,1362.48,2074.7,2010.2,3138.93
,,,,,,,,,
,,,,,,,,,
schemaSize:4,keyNum:6,copyNum:150000,aveKeySize:2.00,aveTupleNumOfArmRel:5.00,,,,,
,,,,,,,,,
2314,500,2961,5825,983,1532,1954,3050,2911,4588
2470.72,505.05,2972.03,5837.77,1002.33,1587.48,2023.3,3126.8,2977.77,4680.33
,,,,,,,,,
,,,,,,,,,
schemaSize:4,keyNum:6,copyNum:200000,aveKeySize:2.00,aveTupleNumOfArmRel:5.00,,,,,
,,,,,,,,,
3096,671,4148,7956,1296,2065,2605,4132,3871,6214
3311.5,677.83,4182.63,7940.75,1324.53,2111.98,2682.18,4258.63,3932.47,6308.15
,,,,,,,,,
,,,,,,,,,
schemaSize:5,keyNum:10,copyNum:100000,aveKeySize:2.50,aveTupleNumOfArmRel:8.50,,,,,
,,,,,,,,,
2046,399,2333,4572,871,1352,1734,2619,2559,4009
2962.75,650.01,4603.32,6527.97,1233.31,1953.44,2443.54,3888.12,3659.2,5784.53
,,,,,,,,,
,,,,,,,,,
schemaSize:5,keyNum:10,copyNum:150000,aveKeySize:2.50,aveTupleNumOfArmRel:8.50,,,,,
,,,,,,,,,
3052,612,3801,7091,1305,1962,2579,4058,3915,5886
4233.76,1003.3,8191.68,9930.79,1876.86,2950.41,3692.74,5916.31,5519.25,8761.61
,,,,,,,,,
,,,,,,,,,
schemaSize:5,keyNum:10,copyNum:200000,aveKeySize:2.50,aveTupleNumOfArmRel:8.50,,,,,
,,,,,,,,,
4522,813,5270,9692,1733,2645,3487,5283,5147,8143
6313.96,1337.13,12555.64,13433.47,2496.11,3919.6,4980.47,7795.98,7403.64,11797.47
,,,,,,,,,
,,,,,,,,,
schemaSize:6,keyNum:20,copyNum:100000,aveKeySize:3.00,aveTupleNumOfArmRel:16.00,,,,,
,,,,,,,,,
5289,1339,11894,12534,2541,3936,5042,7917,7496,11834
5337.78,1360.3,11984.1,12561.86,2600.76,3987.35,5132.89,8027.84,7657.86,12014.74
,,,,,,,,,
,,,,,,,,,
schemaSize:6,keyNum:20,copyNum:150000,aveKeySize:3.00,aveTupleNumOfArmRel:16.00,,,,,
,,,,,,,,,
8679,2028,22841,18963,3808,5947,7566,11911,11259,17840
8729.35,2064.27,22941.89,18986.78,3893.63,6060.41,7704.72,12040.3,11449.99,18095.34
,,,,,,,,,
,,,,,,,,,
schemaSize:6,keyNum:20,copyNum:200000,aveKeySize:3.00,aveTupleNumOfArmRel:16.00,,,,,
,,,,,,,,,
11043,2748,37368,25320,5068,8015,10123,15916,15079,23926
11104.26,2799.24,37416.81,25415.07,5173.34,8133.99,10219.59,16163.89,15276.43,24141.01
,,,,,,,,,
,,,,,,,,,
schemaSize:7,keyNum:35,copyNum:100000,aveKeySize:3.50,aveTupleNumOfArmRel:29.00,,,,,
,,,,,,,,,
8389,1906,21249,17537,3897,5847,7602,11642,11471,17842
11611.11,2874.61,45628.38,22988.45,5202,7959.11,10164.52,15841.96,15196.64,23881.96
,,,,,,,,,
,,,,,,,,,
schemaSize:7,keyNum:35,copyNum:150000,aveKeySize:3.50,aveTupleNumOfArmRel:29.00,,,,,
,,,,,,,,,
11693,2902,41994,26343,5883,8886,11557,17668,17170,26674
18889.34,4390.32,95133.6,34550.29,7763.64,12056.76,15315.11,23949.62,22931.82,35985.44
,,,,,,,,,
,,,,,,,,,
schemaSize:7,keyNum:35,copyNum:200000,aveKeySize:3.50,aveTupleNumOfArmRel:29.00,,,,,
,,,,,,,,,
19253,3901,69477,35027,7845,11883,15247,24159,22991,35728
26784.58,5908.75,163633.68,46127.36,10267.83,16128.33,20298.8,32147.3,30707.53,48320.04
